X,Y
3.717655653,2.969226942
2.240286197,2.674027675
2.541954551,3.532067827
3.570501304,3.636003757
0.288653119,2.1252363
0.329221247,2.840341714
1.084943326,3.004300353
2.892791706,2.643253434
3.153214734,3.404893722
3.38546826,3.479707635
0.543602302,1.620711129
3.431140533,4.043213991
2.254405928,2.970950157
0.721715638,1.944241696
2.408963768,2.957829144
2.457642747,2.422044399
3.872286122,3.251153335
1.787219363,2.273158039
2.812447157,2.745654651
2.516104164,3.760127833
3.425985535,3.596957255
1.166307356,1.988382476
1.859270241,3.576723803
1.941080329,3.009944058
1.752251123,2.957211227
3.948709487,4.342800958
0.707901189,3.232679226
0.386722985,2.698455324
3.501051129,3.578220889
1.091539927,2.719241256
1.1813376,3.363310717
2.402798039,4.032182888
3.193088336,2.738392639
1.50858132,2.17615514
2.154267321,2.243334279
0.773977102,2.483832291
1.7426371,2.845137913
3.193897191,3.487014903
2.98517094,3.04395799
0.244769753,2.545251759
1.835498248,3.237065735
